RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
HZ497736,11/1/2016 0:00,859,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-JEWISH,North,17,1711,NORTH PARK,1,0,,,UNDETERMINED
HZ499216,11/1/2016 0:00,1800,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY (MALE),North,16,1624,PORTAGE PARK,1,0,,,BONA FIDE
HZ511468,11/14/2016 0:00,1100,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,14,1433,WEST TOWN,1,0,,,BONA FIDE
HZ512338,11/12/2016 0:00,520,5001,OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY, ANTI-WHITE,North,16,1611,EDISON PARK,1,0,,,UNFOUNDED
HZ515246,11/17/2016 0:00,2100,495,BATTERY: AGGRAVATED OF A SENIOR CITIZEN, ANTI-WHITE,South,4,421,SOUTH SHORE,1,0,,,UNDETERMINED
HZ530210,11/26/2016 0:00,2014,460,BATTERY: SIMPLE, ANTI-ISLAMIC/MUSLIM,Central,12,1224,NEAR WEST SIDE,2,1,1,,UNDETERMINED
HZ533058,11/22/2016 0:00,1745,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,15,1524,AUSTIN,1,0,,,UNDETERMINED
HZ534286,11/28/2016 0:00,1400,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-WHITE,North,19,1924,LAKE VIEW,1,1,1,,BONA FIDE
HZ547167,12/10/2016 0:00,1725,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1631,DUNNING,1,0,,,UNDETERMINED
HZ553800,12/15/2016 0:00,1700,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-GAY (MALE),North,25,2525,HERMOSA,1,0,,,UNDETERMINED
HZ560322,12/20/2016 0:00,2200,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,132,NEAR SOUTH SIDE,1,0,,,UNDETERMINED
JA103183,1/3/2017 0:00,1200,560,ASSAULT: SIMPLE, ANTI-WHITE,North,11,1134,EAST GARFIELD PARK,1,4,4,,UNDETERMINED
JA105305,1/5/2017 0:00,1233,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,South,22,2212,MORGAN PARK,1,0,,,UNFOUNDED
JA107197,1/7/2017 0:00,1130,520,ASSAULT: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-BLACK/AFRICAN-AMERICAN,Central,8,832,CHICAGO LAWN,1,1,1,,BONA FIDE
