RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JC484878,10/17/2019 0:00,1,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,North,19,1921,NORTH CENTER,2,0,,,BONA FIDE
JC491898,10/25/2019 0:00,1600,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,19,1911,NORTH CENTER,1,0,,,BONA FIDE
JC499755,8/15/2019 0:00,2000,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,10,1021,NORTH LAWNDALE,1,0,,,BONA FIDE
JC500381,10/25/2019 0:00,2020,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-LESBIAN,North,17,1711,NORTH PARK,4,0,,,BONA FIDE
JC505373,11/10/2019 0:00,600,1365,CRIMINAL TRESPASS: TO RESIDENCE, ANTI-JEWISH,North,24,2411,WEST RIDGE,3,0,,,BONA FIDE
JC514692,11/18/2019 0:00,830,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,Central,18,1834,NEAR NORTH SIDE,1,0,,,BONA FIDE
JC523647,11/24/2019 0:00,2230,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,7,712,ENGLEWOOD,1,0,,,BONA FIDE
JC535937,12/5/2019 0:00,1732,460,BATTERY: SIMPLE, ANTI-TRANSGENDER,North,24,2422,ROGERS PARK,1,0,,,BONA FIDE
JC546512,12/14/2019 0:00,2200,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,Central,10,1021,NORTH LAWNDALE,1,0,,,BONA FIDE
JC549201,12/15/2019 0:00,1225,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,122,LOOP,1,0,,,BONA FIDE
JC563270,11/18/2019 0:00,1532,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-WHITE,Central,8,815,GARFIELD RIDGE,1,0,,,BONA FIDE
JD101236,12/24/2019 0:00,1628,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JD117819,1/16/2020 0:00,1300,560,ASSAULT: SIMPLE, ANTI-JEWISH,South,4,413,CALUMET HEIGHTS,1,0,1,,BONA FIDE
JD118937,1/15/2020 0:00,1,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,24,2423,ROGERS PARK,1,0,,,BONA FIDE
JD124403,1/22/2020 0:00,1100,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,14,1434,LOGAN SQUARE,1,0,,,BONA FIDE
JD131839,1/28/2020 0:00,1710,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1924,LAKE VIEW,1,0,,,BONA FIDE
JD143565,2/6/2020 0:00,900,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2031,LINCOLN SQUARE,1,0,,,BONA FIDE
JD143665,2/7/2020 0:00,1608,460,BATTERY: SIMPLE, ANTI-TRANSGENDER,Central,18,1833,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD150658,2/13/2020 0:00,1645,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,18,1812,LINCOLN PARK,1,1,,1,BONA FIDE
JD151627,2/14/2020 0:00,955,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD154028,2/15/2020 0:00,1145,460,BATTERY: SIMPLE, ANTI-JEWISH,North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
JD156569,2/17/2020 0:00,215,495,BATTERY: AGGRAVATED OF A SENIOR CITIZEN, ANTI-WHITE,North,19,1933,LAKE VIEW,1,0,,,BONA FIDE
JD172854,3/3/2020 0:00,1718,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2432,ROGERS PARK,1,0,,,BONA FIDE
JD175966,2/4/2020 0:00,1443,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1911,NORTH CENTER,1,0,1,,BONA FIDE
JD177594,3/7/2020 0:00,1638,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),South,6,611,AUBURN GRESHAM,1,1,1,,BONA FIDE
JD179443,3/9/2020 0:00,1200,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,24,2431,ROGERS PARK,1,0,,,BONA FIDE
JD199121,3/31/2020 0:00,1600,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-OTHER CHRISTIAN,Central,18,1824,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD216272,4/16/2020 0:00,2007,460,BATTERY: SIMPLE, ANTI-ARAB,Central,12,1213,WEST TOWN,1,0,1,,BONA FIDE
JD222561,5/2/2020 0:00,1325,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1612,NORWOOD PARK,1,0,,,BONA FIDE
JD223529,5/3/2020 0:00,2120,486,BATTERY: DOMESTIC BATTERY SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2432,ROGERS PARK,1,0,,,BONA FIDE
JD234609,5/17/2020 0:00,5,460,BATTERY: SIMPLE, ANTI-ASIAN,North,20,2024,UPTOWN,1,1,1,,BONA FIDE
JD239633,5/22/2020 0:00,630,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-WHITE,North,24,2423,ROGERS PARK,1,0,,,BONA FIDE
JD241326,5/24/2020 0:00,1100,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),Central,12,1221,WEST TOWN,1,0,,,BONA FIDE
JD247834,5/30/2020 0:00,1936,460,BATTERY: SIMPLE, ANTI-WHITE,North,16,1613,EDISON PARK,1,0,,,BONA FIDE
JD248484,5/31/2020 0:00,1004,110,HOMICIDE: FIRST DEGREE MURDER, ANTI-TRANSGENDER,Central,8,831,CHICAGO LAWN,1,1,1,,BONA FIDE
JD249784,6/1/2020 0:00,1249,2851,PUBLIC PEACE VIOLATION: ARSON THREAT, ANTI-ARAB,Central,8,834,ASHBURN,1,0,,,BONA FIDE
JD251528,6/2/2020 0:00,1848,041A,BATTERY: AGGRAVATED: HANDGUN, ANTI-GAY (MALE),South,4,424,SOUTH CHICAGO,1,0,,,BONA FIDE
JD253891,6/2/2020 0:00,1200,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,Central,8,832,CHICAGO LAWN,2,0,,,BONA FIDE
JD254497,6/5/2020 0:00,1043,460,BATTERY: SIMPLE, ANTI-WHITE,Central,18,1821,NEAR NORTH SIDE,1,2,2,,BONA FIDE
JD257590,6/8/2020 0:00,1215,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,Central,9,925,FULLER PARK,1,0,,,BONA FIDE
JD261485,6/12/2020 0:00,150,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-WHITE,North,14,1412,AVONDALE,1,0,,,BONA FIDE
JD261486,6/12/2020 0:00,150,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-WHITE,North,14,1412,AVONDALE,1,0,,,BONA FIDE
JD262806,6/13/2020 0:00,1008,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,North,11,1115,WEST GARFIELD PARK,1,0,,,BONA FIDE
JD263641,6/14/2020 0:00,713,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,2,224,GRAND BOULEVARD,1,0,,,BONA FIDE
JD267756,6/17/2020 0:00,838,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,24,2422,ROGERS PARK,1,0,,,BONA FIDE
JD271695,6/21/2020 0:00,1956,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-WHITE,Central,1,121,NEAR WEST SIDE,1,0,,,BONA FIDE
JD272303,6/21/2020 0:00,700,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,Central,9,922,BRIGHTON PARK,1,0,,,BONA FIDE
JD273458,6/22/2020 0:00,1100,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY (MALE),North,24,2413,WEST RIDGE,1,0,,,BONA FIDE
JD273602,5/1/2020 0:00,1200,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-GAY (MALE),Central,8,814,GARFIELD RIDGE,1,0,,,BONA FIDE
JD274613,6/22/2020 0:00,1730,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,17,1732,AVONDALE,1,0,,,BONA FIDE
JD274831,6/23/2020 0:00,1330,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,112,LOOP,1,0,,,BONA FIDE
JD276122,6/25/2020 0:00,1710,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,Central,9,915,ARMOUR SQUARE,1,0,,,BONA FIDE
JD278825,6/12/2020 0:00,1200,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,Central,2,234,HYDE PARK,1,0,,,BONA FIDE
JD279124,6/27/2020 0:00,1350,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1231,NEAR WEST SIDE,1,0,,,BONA FIDE
JD284301,7/3/2020 0:00,830,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-WHITE,Central,12,1231,NEAR WEST SIDE,1,0,,,BONA FIDE
JD286143,7/4/2020 0:00,2240,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-BLACK/AFRICAN-AMERICAN,Central,9,924,NEW CITY,4,0,,,BONA FIDE
JD286589,7/4/2020 0:00,800,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,14,1414,LOGAN SQUARE,1,0,,,BONA FIDE
JD289855,7/7/2020 0:00,2222,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,South,4,423,SOUTH CHICAGO,1,0,,,BONA FIDE
JD298734,7/14/2020 0:00,2140,420,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-GAY (MALE),Central,12,1232,NEAR WEST SIDE,1,0,,,BONA FIDE
JD306647,7/22/2020 0:00,2112,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-GAY (MALE),South,4,423,SOUTH CHICAGO,1,0,,,BONA FIDE
JD311395,7/27/2020 0:00,901,560,ASSAULT: SIMPLE, ANTI-ARAB,North,11,1132,NORTH LAWNDALE,1,0,,,BONA FIDE
JD314036,7/25/2020 0:00,1715,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,18,1824,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD314737,7/30/2020 0:00,445,460,BATTERY: SIMPLE, ANTI-WHITE,Central,10,1011,NORTH LAWNDALE,1,0,,,BONA FIDE
JD315210,7/26/2020 0:00,1652,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,South,4,433,HEGEWISCH,1,0,,,BONA FIDE
JD315450,7/26/2020 0:00,212,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2422,ROGERS PARK,1,0,,,BONA FIDE
JD319467,8/3/2020 0:00,1215,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-BLACK/AFRICAN-AMERICAN,South,6,614,ASHBURN,1,0,,,BONA FIDE
JD331723,8/14/2020 0:00,331,460,BATTERY: SIMPLE, ANTI-LESBIAN,North,25,2533,AUSTIN,1,0,,,BONA FIDE
JD335782,8/17/2020 0:00,1606,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),Central,8,831,CHICAGO LAWN,1,0,,,BONA FIDE
JD343128,8/23/2020 0:00,1900,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-HISPANIC/LATINO,Central,9,915,BRIDGEPORT,1,0,,,BONA FIDE
JD343459,8/18/2020 0:00,2200,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-GAY (MALE),North,25,2532,AUSTIN,1,0,,,BONA FIDE
JD352565,8/31/2020 0:00,2200,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-HISPANIC/LATINO,South,7,733,ENGLEWOOD,1,0,,,BONA FIDE
JD360580,9/7/2020 0:00,1909,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-WHITE,North,20,2023,EDGEWATER,1,0,,,BONA FIDE
JD379117,9/25/2020 0:00,1711,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,20,2012,LINCOLN SQUARE,1,0,,,BONA FIDE
JD382539,9/28/2020 0:00,1645,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,19,1931,NORTH CENTER,1,0,,,BONA FIDE
JD385865,9/29/2020 0:00,2100,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-LESBIAN,North,16,1634,PORTAGE PARK,2,0,,,BONA FIDE
JD391426,10/3/2020 0:00,1330,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1632,DUNNING,1,0,,,BONA FIDE
JD395499,10/10/2020 0:00,2216,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-ASIAN,North,16,1655,OHARE,1,0,,,BONA FIDE
JD398073,10/5/2020 0:00,1,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,15,1523,AUSTIN,1,0,,,BONA FIDE
JD407765,10/22/2020 0:00,1700,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,25,2533,AUSTIN,1,0,,,BONA FIDE
JD410983,10/25/2020 0:00,2110,460,BATTERY: SIMPLE, ANTI-ISLAMIC/MUSLIM,North,16,1654,OHARE,1,1,1,,BONA FIDE
JD416367,10/31/2020 0:00,956,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-HISPANIC/LATINO,North,16,1613,NORWOOD PARK,1,0,,,BONA FIDE
JD419802,11/3/2020 0:00,1430,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2412,WEST RIDGE,2,,,,BONA FIDE
JD420599,11/4/2020 0:00,1125,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2413,WEST RIDGE,1,1,1,,BONA FIDE
JD423902,11/7/2020 0:00,2200,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-CATHOLIC,Central,9,1913,BRIDGEPORT,1,0,,,BONA FIDE
JD436543,11/20/2020 0:00,825,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-GAY (MALE),Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD440282,11/23/2020 0:00,1700,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-CATHOLIC,North,11,1124,EAST GARFIELD PARK,1,0,,,BONA FIDE
JD459720,12/14/2020 0:00,1630,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,North,14,1411,AVONDALE,1,0,,,BONA FIDE
JD463029,12/18/2020 0:00,2045,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-ARAB,Central,3,333,SOUTH SHORE,1,0,,,BONA FIDE
JD465275,12/21/2020 0:00,1200,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,6,623,GREATER GRAND CROSSING,1,0,,,BONA FIDE
JD467809,12/23/2020 0:00,1753,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JD469864,12/23/2020 0:00,1400,313,ROBBERY: ARMED: OTHER DANGEROUS WEAPON, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,11,1132,WEST GARFIELD PARK,1,0,,,BONA FIDE
JE102242,1/3/2021 0:00,1450,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-GAY (MALE),South,6,614,AUBURN GRESHAM,1,0,,,BONA FIDE
JE107205,1/8/2021 0:00,1618,2890,PUBLIC PEACE VIOLATION: OTHER VIOLATION, ANTI-JEWISH,Central,18,1811,LINCOLN PARK,1,0,,,BONA FIDE
JE111624,1/13/2021 0:00,1215,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-BLACK/AFRICAN-AMERICAN,North,25,2533,AUSTIN,1,0,,,BONA FIDE
JE111977,1/13/2021 0:00,1915,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,North,25,2512,MONTCLARE,2,0,,,BONA FIDE
JE115692,1/17/2021 0:00,1820,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-ISLAMIC/MUSLIM,North,19,1911,LINCOLN SQUARE,1,0,,,BONA FIDE
JE120546,1/22/2021 0:00,2000,560,ASSAULT: SIMPLE, ANTI-ISLAMIC/MUSLIM,Central,3,313,WOODLAWN,3,0,,,BONA FIDE
JE121985,1/23/2021 0:00,2357,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),North,25,2533,AUSTIN,1,0,,,BONA FIDE
JE139562,2/12/2021 0:00,800,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-ARAB,North,11,111,LOOP,1,0,,,BONA FIDE
JE148709,2/22/2021 0:00,1237,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,North,24,2424,ROGERS PARK,1,0,,,BONA FIDE
JE156625,3/2/2021 0:00,900,460,BATTERY: SIMPLE, ANTI-LESBIAN,Central,18,1834,NEAR NORTH SIDE,1,0,,,BONA FIDE
JE160252,3/5/2021 0:00,1703,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-JEWISH,Central,2,233,WASHINGTON PARK,1,0,,,BONA FIDE
JE167427,3/12/2021 0:00,1949,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,19,1923,LAKE VIEW,1,0,,,BONA FIDE
JE167486,3/13/2021 0:00,15,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,South,22,2222,AUBURN GRESHAM,1,1,1,,BONA FIDE
JE167626,3/12/2021 0:00,414,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-CATHOLIC,North,15,1512,AUSTIN,1,0,,,BONA FIDE
JE167687,3/13/2021 0:00,820,460,BATTERY: SIMPLE, ANTI-WHITE,South,6,624,GREATER GRAND CROSSING,1,0,,,BONA FIDE
JE170837,3/16/2021 0:00,1750,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,2,213,GRAND BOULEVARD,1,0,,,BONA FIDE
JE178433,3/24/2021 0:00,1308,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-JEWISH,Central,12,1232,NEAR WEST SIDE,1,0,,,BONA FIDE
JE182135,3/2/2021 0:00,340,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,15,1522,AUSTIN,1,0,,,BONA FIDE
JE183688,3/29/2021 0:00,1930,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,6,624,CHATHAM,1,0,,,BONA FIDE
JE185698,3/31/2021 0:00,2026,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,5,531,ROSELAND,1,0,,,BONA FIDE
JE192262,3/29/2021 0:00,1100,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-CATHOLIC,North,16,1611,NORWOOD PARK,2,0,,,BONA FIDE
JE193409,4/8/2021 0:00,1345,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,South,6,631,CHATHAM,1,0,,,BONA FIDE
JE200838,4/15/2021 0:00,1900,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-CATHOLIC,North,15,1512,AUSTIN,1,0,,,BONA FIDE
JE202926,4/18/2021 0:00,1114,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-WHITE,South,22,2221,BEVERLY,2,1,1,,BONA FIDE
JE204810,4/20/2021 0:00,1253,460,SIMPLE: BATTERY, ANTI-WHITE,Central,1,112,LOOP,4,1,1,,BONA FIDE
JE205997,4/21/2021 0:00,1639,420,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-BLACK/AFRICAN-AMERICAN,Central,8,835,ASHBURN,1,1,1,,BONA FIDE
JE208826,4/24/2021 0:00,1512,460,BATTERY: SIMPLE, ANTI-ARAB,Central,18,1821,NEAR NORTH SIDE,1,0,,,BONA FIDE
JE209535,4/24/2021 0:00,1730,460,BATTERY: SIMPLE, ANTI-ISLAMIC/MUSLIM,Central,1,113,LOOP,1,0,,,BONA FIDE
JE219470,5/1/2021 0:00,1900,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1914,UPTOWN,1,0,,,BONA FIDE
JE220616,5/5/2021 0:00,1530,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-ISLAMIC/MUSLIM,Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JE221624,4/28/2021 0:00,1950,520,ASSAULT: AGGRAVATED-CUTTING INSTRUMENT, ANTI-GAY (MALE),North,19,1923,LAKE VIEW,1,0,,,BONA FIDE
JE221792,5/6/2021 0:00,1550,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2011,WEST RIDGE,1,0,,,BONA FIDE
JE223072,5/7/2021 0:00,634,530,ASSAULT: AGGRAVATED: OTHER DANG WEAPON, ANTI-ASIAN,South,6,634,CHATHAM,1,0,,,BONA FIDE
JE225401,3/28/2021 0:00,940,5080,OTHER OFFENSE: OTHER NON-CRIMINAL PERSONS, ANTI-ASIAN,North,19,1911,LINCOLN SQUARE,1,0,,,BONA FIDE
JE237764,5/21/2021 0:00,1410,560,ASSAULT: SIMPLE, ANTI-ASIAN,Central,1,122,LOOP,1,0,,,BONA FIDE
JE239154,5/22/2021 0:00,1920,340,ROBBERY: ATTEMPT: STRONGARM-NO WEAPON, ANTI-WHITE,Central,1,114,LOOP,3,0,,,BONA FIDE
JE241303,5/24/2021 0:00,1550,460,BATTERY: SIMPLE, ANTI-LESBIAN,North,20,2022,EDGEWATER,1,1,1,,BONA FIDE
JE241412,5/24/2021 0:00,1700,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,Central,12,1225,NEAR WEST SIDE,1,0,,,BONA FIDE
JE246930,5/28/2021 0:00,1600,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,11,1112,HUMBOLDT PARK,1,0,,,BONA FIDE
JE248244,5/30/2021 0:00,2016,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,12,1211,WEST TOWN,2,0,,,BONA FIDE
JE248443,5/31/2021 0:00,36,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2032,LINCOLN SQUARE,2,1,1,,BONA FIDE
JE250901,6/2/2021 0:00,1040,560,ASSAULT: SIMPLE, ANTI-ASIAN,Central,12,1232,NEAR WEST SIDE,1,0,,,BONA FIDE
JE255160,6/5/2021 0:00,1820,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,1,112,LOOP,1,0,,,BONA FIDE
JE255220,6/5/2021 0:00,2130,265,CRIM SEXUAL ASSAULT: AGGRAVATED: OTHER, ANTI-GAY (MALE),North,19,1923,LAKE VIEW,1,0,,,BONA FIDE
JE259384,6/8/2021 0:00,147,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,19,1933,LAKE VIEW,1,0,,,BONA FIDE
JE259517,6/8/2021 0:00,147,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,19,1933,LAKE VIEW,1,0,,,BONA FIDE
JE259854,6/9/2021 0:00,1635,560,ASSAULT: SIMPLE, ANTI-ASIAN,North,20,2033,UPTOWN,1,0,,,BONA FIDE
JE268509,6/16/2021 0:00,1803,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,18,1814,LINCOLN PARK,1,1,1,,BONA FIDE
JE272250,6/19/2021 0:00,1800,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1231,NEAR WEST SIDE,1,0,,,BONA FIDE
JE276465,6/23/2021 0:00,700,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1614,OHARE,1,0,,,BONA FIDE
JE279591,6/24/2021 0:00,1135,460,BATTERY: SIMPLE, ANTI-ASIAN,Central,9,914,ARMOUR SQUARE,1,0,,,BONA FIDE
JE280111,6/26/2021 0:00,1105,530,ASSAULT: AGGRAVATED: OTHER DANG WEAPON, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,24,2432,ROGERS PARK,2,1,1,,BONA FIDE
JE282628,6/28/2021 0:00,1556,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-TRANSGENDER,Central,3,331,SOUTH SHORE,1,0,,,BONA FIDE
JE285126,6/30/2021 0:00,1640,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,15,1512,AUSTIN,1,0,,,BONA FIDE
JE285899,7/18/2020 0:00,1452,,, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),,,,NEAR NORTH SIDE,1,0,,,BONA FIDE
JE293126,7/7/2021 0:00,34,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,17,1724,ALBANY PARK,1,0,,,BONA FIDE
JE293801,7/15/2021 0:00,1423,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-LESBIAN,Central,2,222,KENWOOD,1,1,1,,BONA FIDE
JE300701,7/14/2021 0:00,7,041A,BATTERY: AGGRAVATED: HANDGUN, ANTI-TRANSGENDER,North,11,1113,AUSTIN,5,0,,,BONA FIDE
JE301483,7/14/2021 0:00,1531,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1611,EDISON PARK,1,0,,,BONA FIDE
JE302296,7/15/2021 0:00,1333,460,BATTERY: SIMPLE, ANTI-JEWISH,Central,9,913,BRIDGEPORT,1,0,,,BONA FIDE
JE304803,7/16/2021 0:00,1637,560,ASSAULT: SIMPLE, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),Central,1,133,DOUGLAS,1,0,,,BONA FIDE
JE305379,7/17/2021 0:00,1630,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,6,623,GREATER GRAND CROSSING,1,0,,,BONA FIDE
JE305872,7/18/2021 0:00,1627,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,South,4,432,EAST SIDE,1,0,,,BONA FIDE
JE305896,7/18/2021 0:00,1700,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1223,NEAR WEST SIDE,2,1,1,,BONA FIDE
